Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Foreign Affairs Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Foreign Language Teacher (Arabic),Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Foreign Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,,
Forensic Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Forensic Lab Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Forensic Laboratory Analyst,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N,,,,,,
Forestry Extension Assistant,Forestry,Silviculture and other forestry activities,Higher Education,Yes,No,N,N,1076.0,1947.0,928.0,1574.0,55.26,58.96
Forging Machine Operator,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,,
Forklift Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Forklift Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Formworks Crew,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Foundry Melter,Manufacturing,Casting of metals,Not Higher Education,No,No,N,N,,,,,,
Foundry Molder,Manufacturing,Casting of metals,Not Higher Education,No,No,N,N,,,,,,
Foundry Patternmaker,Manufacturing,Casting of metals,Not Higher Education,No,No,N,N,,,,,,
Freight and Furniture Handlers,Transportation and Storage,Freight air transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Front End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Front Office Agent,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Front-End Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Front-End Web Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Furniture Maker Finisher,Manufacturing,Manufacture of furniture,Not Higher Education,No,No,N,N,,,,,,
Game Designer,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,,
Game Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Garment Technician,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,N,N,,,,,,
Gas Welder (Oxy-Acetylene),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Genealogist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
General Subject Basic Education Teacher,Professional Teachers,Primary/elementary education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
General Subject High School Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Generator Set Tenders,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Geothermal Plant Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Manufacture of gas; distribution of gaseous fuels through mains,Higher Education,No,Yes,N,N,,,,,,
Geriatric Physical Therapist,Physical Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,1288.0,1884.0,1206.0,1700.0,68.37,70.94
GIS & Spatial Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Global Programs Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Gondola Tenders,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Government Program Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N,,,,,,
Government Records Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N,,,,,,
Graphic Designer,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,,
Green Coffee Beans Processor,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Ground Operations Crew Member,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,Tourism,Tourism,,,,,,
GTAW/TIG Welder,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Guest Relations Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
HACCP Coordinator                           ,Manufacturing,Manufacture of other food products,Higher Education,No,No,N,N,,,,,,
Hairdresser,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Halal Compliance Specialist,Manufacturing,Manufacture of other food products,Higher Education,No,No,N,N,,,,,,
Halal Seaweed Processing Worker,Manufacturing,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,N,,,,,,
Halal Slaughterer,Manufacturing,Processing and preserving of meat,Not Higher Education,No,No,N,N,,,,,,
Handloom Weaver,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N,,,,,,
Hatchery Farm Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,,
HDD FOL Operator,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Health and Safety Officer (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
Health Information Management Technician,Information and Communication,"Data processing, hosting and related activities; web portals (if digitized records)OR Other information service activities (if part of IT-BPM support to healthcare)",Higher Education,No,Yes,N,N,,,,,,
Health Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,,
Health Promotion Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,Health,,,,,,
Health Services Clerk,Human Health and Social Work Activities,Human Health Activities,Higher Education,No,Yes,Y,Health,,,,,,
Heat Treater,Manufacturing,Manufacture of basic iron and steel,Not Higher Education,No,No,N,N,,,,,,
Heavy Equipment Mechanic,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Heavy Equipment Operator (High School),Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Herbal Remedies Research Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,,
Heritage Planner,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,,
Heritage Site Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Heritage Tourism Operator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,,
Heritage Tradesperson / Heritage Conservation Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,,
High School Science Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
History Lecturer,Education,Higher education,Higher Education,No,No,N,N,,,,,,
Home Economics Extension Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Home-Based Birth Assistant (Registered Midwife),Midwifery,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,2800.0,4119.0,3997.0,5398.0,67.98,74.05
Horse Riding Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Horticulture Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,No,Yes,N,N,,,,,,
Hospital Administration Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,,
Hospital Caregiver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,,
Hospital Nursing Aide,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,,
Hospital Pharmacist,Pharmacy,Other human health activities,Higher Education,Yes,No,Y,Health,1420.0,2275.0,2905.0,3778.0,62.42,76.89
Hospitality Systems and Technology Analyst,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Hotel Cleaners,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Hotel Duty Engineer,Civil Engineering,Short term accommodation activities,Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,33.26,37.07
Hotel Maintenance,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Hotel Receptionist,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Hotel Services Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Household Equipment Technician,Other Service Activities,Repair of personal and household goods,Higher Education,No,Yes,N,N,,,,,,
Housekeeping Attendant,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
HR Assistants / Timekeepers (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
HR Business Partner,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
HR Operations and Technology Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
Human Resource Assistant (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Human Resource Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services,,,,,,
Human Resource Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
Humanitarian Affairs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N,,,,,,
Humanities Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
HVAC Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Higher Education,No,Yes,N,N,,,,,,
Hydraulic Excavator Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
IC Designer,Manufacturing,Manufacture of electronic components,Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Ice Plant Refrigeration Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,,
Import Coordinator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Import/Export Documentation Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Industrial Automation Technician,Manufacturing,Manufacture of general purpose machinery,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Industrial Chemist (Licensed),Chemistry,Manufacture of basic chemicals,Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,51.74,54.41
Industrial Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Industrial Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Industrial Refrigeration Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,,
Industrial Scheduler,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Infrastructure Support Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Inland Water Fisheries Assistant,Fisheries Technology,Aquaculture,Higher Education,Yes,No,N,N,716.0,2124.0,1005.0,1509.0,33.71,66.6
Institutional Catering Assistant,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Instrumental Music Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Instrumentation And Automation Technician,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Instrumentation Engineer (Licensed),Mechanical Engineering,"Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N,2133.0,4237.0,1144.0,3485.0,50.34,32.83
Insurance Processors,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Not Higher Education,No,No,Y,Financial Services,,,,,,
Interactive Content Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Interactive Media Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Intercultural Program Facilitator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,,
Interfaith Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Interior Architect (Tourism),Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,61.12,62.14
Interior Design Assistant,Architecture,Specialized design activities,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,61.12,62.14
Internal Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
International Affairs Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,,
International Cooperation Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
International Trade Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Wholesale Trade,Higher Education,No,No,N,N,,,,,,
Inventory Analyst,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Inventory Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Inventory Management Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Investment Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Irrigation Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,,
IT Business Analyst Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
IT Support Specialist,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology,,,,,,
IT Support Technician (Air Transport),Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,Tourism,Tourism,,,,,,
IT Technical Support Personnel (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
IT Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Japan Market Liaison,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N,,,,,,
Japanese Language and Culture Assistant,Education,Other Education,Higher Education,No,Yes,N,N,,,,,,
Java Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Jobs Coordinator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Judicial Assistant,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,N,N,,,,,,
Junior AI Data Governance Officer,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Junior Airline Accounting Clerk ,Accountancy,"Passenger air transport, Freight air transport",Higher Education,Yes,No,Tourism,Tourism,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Junior Applications Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Junior Architectural Technologist,Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,61.12,62.14
Junior Associate (Consulting),"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,Yes,N,N,,,,,,
Junior Behavioral Health Analyst,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Junior Botanist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,N,,,,,,
Junior Budget Analyst,Accountancy,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Junior Business Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services,,,,,,
Junior Business News Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,,
Junior Business Process Analyst,Information and Communication,Management consultancy activities,Higher Education,No,No,N,N,,,,,,
Junior Computational Physicist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,N,,,,,,
Junior Credit Analyst,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,No,Y,Financial Services,,,,,,
Junior Database Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Junior Economic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Junior Editorial Researcher,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,N,,,,,,
Junior Financial Analyst,Accountancy,Fund management activities,Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Junior Financial Market Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,Y,Financial Services,,,,,,
Junior Geologist,Geology,Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,N,165.0,351.0,236.0,349.0,47.01,67.62
Junior Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Junior Information Systems Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Junior IoT Specialist,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology,,,,,,
Junior Landscape Planner,Landscape Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,64.0,112.0,91.0,142.0,57.14,64.08
Junior Physics Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,,
Junior Power Systems Engineer,Electrical Engineering,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,Yes,No,N,N,1218.0,3945.0,1655.0,3058.0,30.87,54.12
Junior Prepress Technician,Manufacturing,Printing and service activities related to printing,Not Higher Education,No,No,N,N,,,,,,
Junior Project Coordinator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Junior Quantitative Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,Y,Financial Services,,,,,,
Junior Risk Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services,,,,,,
Junior Software Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Junior Software Engineer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Junior Statistician,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services,,,,,,
Junior Systems Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Junior Trade and Culture Analyst,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N,,,,,,
Kiln Operator,Manufacturing,"Manufacture of non-metallic mineral products, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Kindergarten Teacher,Professional Teachers,Pre-primary/pre-school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Kitchen Staff,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Knowledge Management Officer,Library Science,Other information service activities,Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,62.64,48.77
Labor Relations Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
Laboratory And Metrology Calibration Technician,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
"Laborers and Hand Freight, Stock, and Material Movers",Transportation and Storage,Freight air transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Land-Based Transport Refrigeration Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,,
Landscape Design Assistant (Licensed Architect),Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,61.12,62.14
Landscape Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N,,,,,,
Landscape Gardener,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Language Arts Curriculum Developer,Education,Other Education,Higher Education,No,No,N,N,,,,,,
Language Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,,
Language Teaching Assistant,Education,Other Education,Higher Education,No,Yes,N,N,,,,,,
Latex Receiver,Manufacturing,Manufacture of rubber products,Not Higher Education,No,No,N,N,,,,,,
Laundry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Laundry Machine Operator,Other Service Activities,Laundry services,Not Higher Education,No,No,N,N,,,,,,
Layout Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Learning and Development Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
Leasing Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,N,N,,,,,,
Legal Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Legal Associate,Criminology,Justice and Judicial Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,32.68,49.34
Legal Research Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,Yes,N,N,,,,,,
Legislative Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Legislative Staff Officer,Public Administration and Defense; Compulsory Social Security,Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
"LGU Program Assistant, Local Government Support Staff",Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N,,,,,,
Liaison Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
Librarian,Library Science,"Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,62.64,48.77
Librarian Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,,
Library Clerk,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,,
Library Technician,Library Science,"Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,62.64,48.77
Licensed Aeronautical Engineer,Aeronautical Engineering,Manufacture of air and spacecraft and related machinery,Higher Education,Yes,No,N,N,418.0,971.0,579.0,1070.0,43.05,54.11
Licensed Agricultural and Biosystems Engineer,Agricultural Engineering,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,33.41,56.34
Licensed Agriculturist,Agricultural Engineering,Growing of non-perennial crops,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,33.41,56.34
Licensed Aquaculturist,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,No,N,N,,,,,,
Licensed Architect,Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,61.12,62.14
Licensed Chemist,Chemistry,"Other professional, scientific and technical activities, n.e.c.",Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,51.74,54.41
Licensed Criminologist,Criminology,Public Order and Safety Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,32.68,49.34
Licensed Dentist,Dentistry,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,15.0,20.0,873.0,1287.0,75.0,67.83
Licensed Nutritionist and Dietician,Nutrition and Dietetics,Other human health activities,Higher Education,Yes,No,Y,Health,895.0,1219.0,843.0,1209.0,73.42,69.73
Licensed Occupational Therapist,Occupational Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,323.0,554.0,353.0,536.0,58.3,65.86
Licensed Optometrist,Optometry,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,153.0,226.0,297.0,327.0,67.69,90.83
Licensed Pharmacist,Pharmacy,Other human health activities,Higher Education,Yes,No,Y,Health,1420.0,2275.0,2905.0,3778.0,62.42,76.89
Licensed Physical Therapist,Physical Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,1288.0,1884.0,1206.0,1700.0,68.37,70.94
Licensed Psychometrician,Psychology,Other human health activities,Higher Education,Yes,No,Y,Health,339.0,468.0,373.0,448.0,72.44,83.26
Licensed Respiratory Therapist,Respiratory Therapy,Hospital activities,Higher Education,Yes,No,Y,Health,955.0,1345.0,1077.0,1383.0,71.0,77.87
Life Science Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Lifeguard,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Lighting Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,Yes,N,N,,,,,,
Line Technician,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Linen Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
